month,baseball
2004-01,34
2004-02,50
2004-03,70
2004-04,82
2004-05,85
2004-06,83
2004-07,65
2004-08,51
2004-09,45
2004-10,60
2004-11,28
2004-12,33
2005-01,37
2005-02,52
2005-03,70
2005-04,90
2005-05,86
2005-06,88
2005-07,68
2005-08,53
2005-09,42
2005-10,49
2005-11,30
2005-12,32
2006-01,40
2006-02,51
2006-03,80
2006-04,86
2006-05,86
2006-06,86
2006-07,66
2006-08,51
2006-09,40
2006-10,43
2006-11,28
2006-12,28
2007-01,34
2007-02,47
2007-03,67
2007-04,83
2007-05,85
2007-06,89
2007-07,67
2007-08,54
2007-09,42
2007-10,44
2007-11,28
2007-12,28
2008-01,32
2008-02,44
2008-03,67
2008-04,80
2008-05,83
2008-06,82
2008-07,63
2008-08,48
2008-09,36
2008-10,37
2008-11,24
2008-12,25
2009-01,31
2009-02,45
2009-03,73
2009-04,74
2009-05,81
2009-06,78
2009-07,60
2009-08,47
2009-09,37
2009-10,41
2009-11,28
2009-12,24
2010-01,30
2010-02,39
2010-03,60
2010-04,79
2010-05,80
2010-06,78
2010-07,54
2010-08,44
2010-09,35
2010-10,40
2010-11,23
2010-12,21
2011-01,29
2011-02,44
2011-03,63
2011-04,81
2011-05,87
2011-06,88
2011-07,64
2011-08,49
2011-09,42
2011-10,44
2011-11,25
2011-12,24
2012-01,31
2012-02,44
2012-03,64
2012-04,88
2012-05,90
2012-06,89
2012-07,62
2012-08,47
2012-09,41
2012-10,44
2012-11,24
2012-12,24
2013-01,32
2013-02,46
2013-03,72
2013-04,88
2013-05,89
2013-06,86
2013-07,63
2013-08,55
2013-09,42
2013-10,42
2013-11,24
2013-12,23
2014-01,29
2014-02,45
2014-03,64
2014-04,86
2014-05,91
2014-06,85
2014-07,62
2014-08,51
2014-09,39
2014-10,42
2014-11,24
2014-12,23
2015-01,30
2015-02,42
2015-03,62
2015-04,82
2015-05,85
2015-06,80
2015-07,58
2015-08,49
2015-09,42
2015-10,46
2015-11,25
2015-12,22
2016-01,28
2016-02,47
2016-03,65
2016-04,92
2016-05,96
2016-06,90
2016-07,58
2016-08,44
2016-09,42
2016-10,47
2016-11,31
2016-12,23
2017-01,29
2017-02,48
2017-03,79
2017-04,87
2017-05,90
2017-06,100
2017-07,58
2017-08,45
2017-09,39
2017-10,49
2017-11,28
2017-12,23
2018-01,29
2018-02,48
2018-03,68
2018-04,84
2018-05,91
2018-06,98
2018-07,55
2018-08,44
2018-09,40
2018-10,47
2018-11,23
2018-12,23
2019-01,29
2019-02,48
2019-03,74
2019-04,84
2019-05,93
2019-06,100
2019-07,54
2019-08,46
2019-09,39
2019-10,48
2019-11,25
2019-12,23
2020-01,29
2020-02,50
2020-03,38
2020-04,22
2020-05,26
2020-06,32
2020-07,42
2020-08,38
2020-09,32
2020-10,36
2020-11,18
2020-12,18
2021-01,22
2021-02,38
2021-03,55
2021-04,75
2021-05,90
2021-06,99
2021-07,59
2021-08,49
2021-09,42
2021-10,47
2021-11,27
2021-12,22
2022-01,26
2022-02,48
2022-03,71
2022-04,93
2022-05,84
