epoch,step,train_loss_epoch,train_loss_step,val_loss
0,25,,,62.37487030029297
0,25,32.07484436035156,,
1,49,,31.804256439208984,
1,51,,,57.71963119506836
1,51,29.846797943115234,,
2,77,,,49.404136657714844
2,77,26.286224365234375,,
3,99,,16.641944885253906,
3,103,,,37.53173828125
3,103,19.749698638916016,,
4,129,,,28.374906539916992
4,129,12.5747652053833,,
5,149,,10.001672744750977,
5,155,,,22.91415786743164
5,155,8.393433570861816,,
6,181,,,19.27751922607422
6,181,6.21256685256958,,
7,199,,5.346058368682861,
7,207,,,16.32038688659668
7,207,4.7980241775512695,,
8,233,,,14.148110389709473
8,233,3.8010032176971436,,
9,249,,2.8591928482055664,
9,259,,,12.679275512695312
9,259,3.179142951965332,,
10,285,,,11.55483341217041
10,285,2.8022475242614746,,
11,299,,2.4408154487609863,
11,311,,,10.650336265563965
11,311,2.5380759239196777,,
12,337,,,9.935200691223145
12,337,2.3527910709381104,,
13,349,,2.3328089714050293,
13,363,,,9.403581619262695
13,363,2.220872402191162,,
14,389,,,8.933786392211914
14,389,2.1308767795562744,,
15,399,,1.8390980958938599,
15,415,,,8.538336753845215
15,415,2.0630006790161133,,
16,441,,,8.199508666992188
16,441,2.012366533279419,,
17,449,,2.1494271755218506,
17,467,,,7.916472434997559
17,467,1.9720759391784668,,
18,493,,,7.709719181060791
18,493,1.940582275390625,,
19,499,,1.5886613130569458,
19,519,,,7.509041786193848
19,519,1.9152023792266846,,
20,545,,,7.309473991394043
20,545,1.89098060131073,,
21,549,,2.36094069480896,
21,571,,,7.270718097686768
21,571,1.8528668880462646,,
22,597,,,7.107692241668701
22,597,1.740148663520813,,
23,599,,2.495561361312866,
23,623,,,6.664205551147461
23,623,1.5438077449798584,,
24,649,,1.0842596292495728,
24,649,,,6.317469596862793
24,649,1.3749033212661743,,
25,675,,,6.041213512420654
25,675,1.2614099979400635,,
26,699,,1.3835549354553223,
26,701,,,5.767664432525635
26,701,1.163935661315918,,
27,727,,,5.493968486785889
27,727,1.056025743484497,,
28,749,,0.5857624411582947,
28,753,,,5.193120956420898
28,753,0.9201309680938721,,
29,779,,,4.82572603225708
29,779,0.7663896083831787,,
30,799,,0.5340380072593689,
30,805,,,4.467709541320801
30,805,0.6526352763175964,,
31,831,,,4.146430015563965
31,831,0.5707126259803772,,
32,849,,0.33328676223754883,
32,857,,,3.854060649871826
32,857,0.49983617663383484,,
33,883,,,3.587970733642578
33,883,0.44231557846069336,,
34,899,,0.27231308817863464,
34,909,,,3.345337390899658
34,909,0.3925759196281433,,
35,935,,,3.11409330368042
35,935,0.3493225872516632,,
36,949,,0.2992932200431824,
36,961,,,2.909160852432251
36,961,0.31126660108566284,,
37,987,,,2.724071502685547
37,987,0.27644747495651245,,
38,999,,0.28167325258255005,
38,1013,,,2.5498287677764893
38,1013,0.24665997922420502,,
39,1039,,,2.386279582977295
39,1039,0.22078493237495422,,
40,1049,,0.24483367800712585,
40,1065,,,2.247673511505127
40,1065,0.19673223793506622,,
41,1091,,,2.109018087387085
41,1091,0.17679224908351898,,
42,1099,,0.07217420637607574,
42,1117,,,1.984140157699585
42,1117,0.1582055389881134,,
43,1143,,,1.8731621503829956
43,1143,0.14170777797698975,,
44,1149,,0.12144456803798676,
44,1169,,,1.7654958963394165
44,1169,0.12814612686634064,,
45,1195,,,1.6738784313201904
45,1195,0.11559469252824783,,
46,1199,,0.12429151684045792,
46,1221,,,1.5892548561096191
46,1221,0.10578589141368866,,
47,1247,,,1.5099695920944214
47,1247,0.09574250131845474,,
48,1249,,0.12559181451797485,
48,1273,,,1.4363672733306885
48,1273,0.0873747318983078,,
49,1299,,0.032962508499622345,
49,1299,,,1.3677443265914917
49,1299,0.0803297907114029,,
50,1325,,,1.3051409721374512
50,1325,0.07360342144966125,,
51,1349,,0.0201412383466959,
51,1351,,,1.2486554384231567
51,1351,0.06804558634757996,,
52,1377,,,1.1963293552398682
52,1377,0.0641573965549469,,
53,1399,,0.10828050225973129,
53,1403,,,1.1449007987976074
53,1403,0.058985672891139984,,
54,1429,,,1.1013566255569458
54,1429,0.05485378950834274,,
55,1449,,0.05346190556883812,
55,1455,,,1.0591950416564941
55,1455,0.05156366154551506,,
56,1481,,,1.019895315170288
56,1481,0.04864921793341637,,
57,1499,,0.015849251300096512,
57,1507,,,0.9823313355445862
57,1507,0.04577424004673958,,
58,1533,,,0.9494753479957581
58,1533,0.04369520768523216,,
59,1549,,0.06955218315124512,
59,1559,,,0.9181495904922485
59,1559,0.041923269629478455,,
60,1585,,,0.8878936171531677
60,1585,0.03983462229371071,,
61,1599,,0.018520701676607132,
61,1611,,,0.8602510094642639
61,1611,0.03791322186589241,,
62,1637,,,0.8341836333274841
62,1637,0.03660076856613159,,
63,1649,,0.04823163151741028,
63,1663,,,0.8083465099334717
63,1663,0.03567871078848839,,
