month,retail
01/01/1995,48.3
01/02/1995,45.8
01/03/1995,53.2
01/04/1995,56.4
01/05/1995,50.8
01/06/1995,49.6
01/07/1995,53
01/08/1995,55.5
01/09/1995,60.1
01/10/1995,54.4
01/11/1995,53.6
01/12/1995,57.1
01/01/1996,55.6
01/02/1996,51.1
01/03/1996,61.7
01/04/1996,62.1
01/05/1996,59.1
01/06/1996,55.1
01/07/1996,60
01/08/1996,62.5
01/09/1996,68.6
01/10/1996,60.8
01/11/1996,58.1
01/12/1996,62.4
01/01/1997,60.1
01/02/1997,56.1
01/03/1997,67
01/04/1997,69.3
01/05/1997,62.2
01/06/1997,61.7
01/07/1997,65.4
01/08/1997,64.1
01/09/1997,75
01/10/1997,64.7
01/11/1997,62.1
01/12/1997,68
01/01/1998,66
01/02/1998,62.3
01/03/1998,67.4
01/04/1998,80.2
01/05/1998,66.3
01/06/1998,62.8
01/07/1998,68.1
01/08/1998,71.8
01/09/1998,77.3
01/10/1998,69.3
01/11/1998,65.1
01/12/1998,69.4
01/01/1999,68.6
01/02/1999,62.4
01/03/1999,79.8
01/04/1999,73.3
01/05/1999,69.8
01/06/1999,67.1
01/07/1999,72.1
01/08/1999,78.1
01/09/1999,81.1
01/10/1999,71.4
01/11/1999,69.1
01/12/1999,73.1
01/01/2000,71.1
01/02/2000,65.4
01/03/2000,82.5
01/04/2000,85.2
01/05/2000,73.5
01/06/2000,76.7
01/07/2000,80.5
01/08/2000,82.8
01/09/2000,91.1
01/10/2000,78.4
01/11/2000,78.1
01/12/2000,82.3
01/01/2001,77.6
01/02/2001,73.2
01/03/2001,84.4
01/04/2001,92.4
01/05/2001,81.1
01/06/2001,76.9
01/07/2001,83.5
01/08/2001,87.8
01/09/2001,93.4
01/10/2001,81.2
01/11/2001,77.8
01/12/2001,83.5
01/01/2002,79.3
01/02/2002,73.3
01/03/2002,84.1
01/04/2002,88.8
01/05/2002,79.8
01/06/2002,74.9
01/07/2002,78
01/08/2002,87
01/09/2002,85.9
01/10/2002,78.6
01/11/2002,74.2
01/12/2002,81
01/01/2003,76.8
01/02/2003,71.3
01/03/2003,75.8
01/04/2003,83.3
01/05/2003,77
01/06/2003,74.8
01/07/2003,79.5
01/08/2003,81.6
01/09/2003,84.6
01/10/2003,78.7
01/11/2003,77.4
01/12/2003,82.2
01/01/2004,79
01/02/2004,69.5
01/03/2004,83.1
01/04/2004,87.5
01/05/2004,80.1
01/06/2004,77.4
01/07/2004,82
01/08/2004,85.6
01/09/2004,92
01/10/2004,81.9
01/11/2004,80.8
01/12/2004,84.6
01/01/2005,79.5
01/02/2005,74
01/03/2005,92.2
01/04/2005,87.2
01/05/2005,83.9
01/06/2005,81.7
01/07/2005,87.5
01/08/2005,90.6
01/09/2005,91.5
01/10/2005,88.2
01/11/2005,85.2
01/12/2005,89.3
01/01/2006,87.2
01/02/2006,78.6
01/03/2006,92.4
01/04/2006,97.6
01/05/2006,88.9
01/06/2006,84.2
01/07/2006,85.4
01/08/2006,92.3
01/09/2006,98
01/10/2006,89.8
01/11/2006,87.6
01/12/2006,96.3
01/01/2007,89
01/02/2007,82.2
01/03/2007,97.2
01/04/2007,98
01/05/2007,95.1
01/06/2007,90
01/07/2007,97.7
01/08/2007,102.5
01/09/2007,103.5
01/10/2007,97.8
01/11/2007,94.8
01/12/2007,103.5
01/01/2008,96.4
01/02/2008,86.3
01/03/2008,103.6
01/04/2008,104.9
01/05/2008,93.8
01/06/2008,95.9
01/07/2008,103.8
01/08/2008,103.6
01/09/2008,110.5
01/10/2008,100.6
01/11/2008,96.6
01/12/2008,104.2
01/01/2009,98.8
01/02/2009,90
01/03/2009,105.2
01/04/2009,115.3
01/05/2009,103.7
01/06/2009,100
01/07/2009,104.5
01/08/2009,107.9
01/09/2009,111
01/10/2009,101.8
01/11/2009,102.4
01/12/2009,111.6
01/01/2010,103
01/02/2010,94.2
01/03/2010,111.6
01/04/2010,112.1
01/05/2010,104.3
01/06/2010,104.4
01/07/2010,107.4
01/08/2010,121.1
01/09/2010,117.1
01/10/2010,104.8
01/11/2010,104.7
01/12/2010,113.6
01/01/2011,103.3
01/02/2011,95.8
01/03/2011,113
01/04/2011,115.3
01/05/2011,107.8
01/06/2011,108.3
01/07/2011,109.4
01/08/2011,111.9
01/09/2011,119.6
01/10/2011,108.1
